Student_ID,Name,Gender,Department,Email,Phone,Attendance,Fee,Join_Date,City,Score
ST1316,Balakrishnan,Male,IT,balakrishnan@gamil.com,98765 43210,0.78,45000,21 Oct 25,,AB
ST1420,Aisha,,IT,aisha@gamil.com,9876543210,85%,"?60,500",28 Sep 25,Delhi,105
ST1404,Rahul,F,AI&DS,,+91-9876543210,92,Paid,07 Jan 26,,65
ST1112,Rahul,female,Computer Science,,N/A,92,"?60,500",2025-03-11,Hyderabad ,105
ST1440,Rahul,m,I.T,rahul@gamil.com,98765 43210,101%,,06/12/2025,Delhi,-5
ST1449, Huzaifa ,m,CSE,huzaifa@gmail.com,N/A,92,Paid,2025-10-03,Delhi,105
ST1011,mOhammed,male,Computer Science,mohammed@gmail.com,98765 43210,92,45000,04/12/2025,Delhi,22
ST1494,Rahul,female,Artificial Intelligence,rahulgmail.com,+91-9876543210,101%,,2025-04-22,Pune,84
ST1137,Monica,F,I.T,monica@gamil.com,+91-9876543210,,45k,03 Apr 26,,-5
ST1207,mOhammed,F,AI&DS,mohammed@gmail.com,09876543210,92,,2025-10-26,Pune,105
ST1029, Huzaifa ,Male,CSE,huzaifa@gamil.com,98765 43210,Absent,45000,17 Oct 25, Bangalore,
ST1140,Deepak,F,AI&DS,deepak@gmail.com,09876543210,85%,,15 Nov 25, Bangalore,AB
ST1477,Priya,M,IT,priya@gmail.com,98765 43210,0.78,45k,09 May 25,Hyderabad ,AB
ST1337,Deepak,female,CSE,deepakgmail.com,09876543210,0.78,45k,23 Feb 25,Chennai,105
ST1026,,m,CSE,,9876543210,85%,,2025-07-20,Delhi,-5
ST1204, Huzaifa ,,CSE,huzaifa@gmail.com,N/A,Absent,45k,2026-01-07,Chennai,-5
ST1166,,,Artificial Intelligence,user@gmail.com,+91-9876543210,85%,45000,29/01/2026,Hyderabad ,AB
ST1116,Deepak,male,AI DS,deepak@gamil.com,09876543210,0.78,Paid,10/01/2025,Pune,-5
ST1052,Deepak,m,AI&DS,deepak@gmail.com,N/A,Absent,,03 Nov 25,Chennai,-5
ST1509,Aisha,M,I.T,aisha@gmail.com,+91-9876543210,101%,Paid,27/10/2025,Chennai,-5
ST1084,Rahul,,AI DS,,+91-9876543210,92,"?45,000",08 Feb 25,Chennai,105
ST1029,Aisha,Male,AI DS,aishagmail.com,+91-9876543210,92,45000,23 Jan 25, Bangalore,-5
ST1018,mOhammed,F,I.T,mohammedgmail.com,N/A,101%,45000,31/08/2025,Delhi,47
ST1203,Sara,male,IT,sara@gmail.com,9876543210,Absent,"?45,000",18/02/2026,Chennai,105
ST1115,Monica,m,IT,monicagmail.com,N/A,101%,45k,2025-01-30,Chennai,
ST1244,Deepak,M,CSE,,9876543210,101%,"?60,500",16/07/2025,Chennai,40
ST1400,,M,I.T,user@gmail.com,+91-9876543210,,"?60,500",06/07/2025,Pune,
ST1096,Sara,,AI&DS,,N/A,85%,"?45,000",2025-04-11,Chennai,-5
ST1407,Aisha,female,Artificial Intelligence,,98765 43210,0.78,45k,2025-04-05,Chennai,
ST1378,Deepak,female,IT,deepak@gamil.com,9876543210,,"?45,000",2025-09-03,Pune,AB
ST1300,Balakrishnan,F,I.T,balakrishnan@gamil.com,+91-9876543210,Absent,"?60,500",03/09/2025,Chennai,-5
ST1248,Aisha,m,I.T,,N/A,85%,,17/02/2026, Bangalore,-5
ST1215,,M,AIDS,user@gamil.com,N/A,0.78,"?60,500",2025-03-02, Bangalore,69
ST1498,Priya,M,Computer Science,,98765 43210,92,"?60,500",07 Apr 25,Pune,105
ST1503,Priya,male,CSE,,9876543210,Absent,45k,24/11/2025,Chennai,AB
ST1270,mOhammed,Female,CSE,mohammedgmail.com,+91-9876543210,101%,"?45,000",25 Apr 26,,AB
ST1027,Balakrishnan,Male,I.T,balakrishnan@gamil.com,09876543210,Absent,,15/06/2025,Delhi,-5
ST1488,mOhammed,M,I.T,mohammed@gamil.com,98765 43210,0.78,45000,16/10/2025,Hyderabad ,AB
ST1454,Aisha,,AI DS,,98765 43210,101%,45000,21/02/2025, Bangalore,
ST1415,Aisha,M,AI&DS,aisha@gmail.com,9876543210,0.78,Paid,2025-10-30,Hyderabad ,AB
ST1112,Sara,M,I.T,saragmail.com,+91-9876543210,85%,,30 Apr 25,Delhi,
ST1042,Priya,Male,AI&DS,,9876543210,0.78,"?45,000",17/02/2025,Chennai,
ST1437,Priya,,AI&DS,priya@gamil.com,N/A,0.78,"?45,000",11 Feb 26,Hyderabad ,-5
ST1041,Rahul,Female,IT,rahul@gamil.com,98765 43210,Absent,,27 Sep 25,Hyderabad ,AB
ST1123,Balakrishnan,F,I.T,,9876543210,101%,45000,18 Aug 25,Hyderabad ,99
ST1430,Rahul,male,Artificial Intelligence,rahul@gmail.com,+91-9876543210,85%,"?60,500",10 Dec 25,Pune,-5
ST1138,Rahul,male,Computer Science,rahul@gmail.com,+91-9876543210,,"?60,500",24 Feb 26,Delhi,63
ST1434,Deepak,F,Computer Science,deepak@gmail.com,N/A,0.78,"?45,000",26/03/2026,Delhi,AB
ST1002,mOhammed,Male,IT,,98765 43210,0.78,Paid,05 Jan 25,Delhi,63
ST1450,Aisha,m,Artificial Intelligence,aisha@gamil.com,09876543210,0.78,45000,2026-04-09,,105
ST1185,Balakrishnan,m,I.T,balakrishnangmail.com,N/A,,,25 Feb 26,Pune,
ST1465,John,Female,Computer Science,john@gmail.com,9876543210,85%,Paid,2025-05-26,Pune,105
ST1503,Deepak,female,Artificial Intelligence,deepak@gamil.com,9876543210,101%,Paid,12 Jan 25,Chennai,AB
ST1153,Deepak,female,I.T,deepak@gamil.com,09876543210,Absent,"?60,500",2025-08-03,Hyderabad ,AB
ST1010,Priya,female,IT,priya@gmail.com,98765 43210,85%,45000,2025-09-26, Bangalore,
ST1115,Balakrishnan,M,Computer Science,balakrishnangmail.com,+91-9876543210,101%,"?60,500",19/09/2025,,-5
ST1301,mOhammed,M,Computer Science,mohammedgmail.com,9876543210,92,,16/01/2026,,AB
ST1477,Rahul,male,IT,,9876543210,0.78,"?60,500",06/04/2026,Pune,64
ST1255,John,F,I.T,johngmail.com,09876543210,101%,45000,2026-04-27,Delhi,
ST1212,John,female,CSE,john@gamil.com,+91-9876543210,,45k,25/04/2025, Bangalore,-5
ST1102, Huzaifa ,M,I.T,huzaifa@gamil.com,N/A,92,45000,22/02/2026,Pune,AB
ST1336,Sara,male,CSE,,09876543210,,Paid,2025-07-10,Delhi,AB
ST1388,Monica,Female,AI DS,monica@gamil.com,N/A,92,"?45,000",15/02/2025, Bangalore,105
ST1296,Sara,Female,Artificial Intelligence,sara@gamil.com,98765 43210,,"?60,500",13 Mar 25,Hyderabad ,105
ST1307,Deepak,M,Computer Science,deepakgmail.com,9876543210,101%,45000,30 Jul 25,Pune,-5
ST1059, Huzaifa ,F,AI DS,,09876543210,85%,45k,21/02/2026,Chennai,AB
ST1439,Deepak,,CSE,deepak@gmail.com,98765 43210,Absent,45000,24/07/2025,Chennai,
ST1177,Balakrishnan,m,AI&DS,balakrishnan@gmail.com,9876543210,Absent,,02/02/2026,Chennai,105
ST1515,Priya,female,I.T,priya@gamil.com,N/A,0.78,"?45,000",2025-12-07,Delhi,AB
ST1448,Sara,Male,AIDS,sara@gmail.com,N/A,,"?45,000",2025-09-07,,89
ST1232,Monica,M,AI&DS,,+91-9876543210,,45k,04/05/2026,Delhi,
ST1190,Deepak,male,AIDS,deepak@gmail.com,+91-9876543210,0.78,"?60,500",2025-06-01,Hyderabad ,AB
ST1308,John,M,IT,john@gamil.com,9876543210,0.78,"?45,000",2026-04-15,Hyderabad ,98
ST1124,mOhammed,F,CSE,mohammed@gamil.com,09876543210,0.78,"?60,500",2025-12-23,Delhi,105
ST1474,,,AI&DS,user@gmail.com,+91-9876543210,,,2026-01-09,Hyderabad ,
ST1503,Priya,M,CSE,priya@gamil.com,9876543210,Absent,45k,05/09/2025,Chennai,105
ST1249,mOhammed,F,AI DS,mohammedgmail.com,98765 43210,85%,45k,2025-08-03,Hyderabad ,
ST1446,Monica,F,Artificial Intelligence,monica@gmail.com,9876543210,,"?60,500",2026-02-15, Bangalore,AB
ST1400,John,m,AIDS,john@gamil.com,+91-9876543210,92,45000,28/01/2026,Pune,AB
ST1214,Monica,Male,CSE,,9876543210,Absent,45000,19 Feb 25,Pune,44
ST1222,Rahul,Female,AI DS,rahul@gmail.com,09876543210,101%,45k,04/02/2025,Pune,99
ST1319,Monica,,I.T,monica@gmail.com,N/A,92,"?45,000",08/06/2025,Hyderabad ,105
ST1128,Monica,F,I.T,monica@gamil.com,98765 43210,85%,,2025-06-08,Pune,105
ST1388,Deepak,m,IT,deepak@gamil.com,98765 43210,101%,Paid,06 Sep 25,Pune,105
ST1311,Priya,F,AI DS,,09876543210,85%,"?45,000",24 Mar 26,Hyderabad ,105
ST1020,Deepak,Male,I.T,deepak@gmail.com,9876543210,Absent,"?60,500",2026-01-19,Chennai,-5
ST1330,Monica,M,AI DS,monicagmail.com,+91-9876543210,101%,Paid,30 Mar 25, Bangalore,
ST1373,Rahul,M,Artificial Intelligence,,98765 43210,0.78,45k,20/03/2026,Delhi,-5
ST1427,John,male,IT,john@gmail.com,09876543210,85%,45000,01 Jun 25,Chennai,49
ST1006,,female,Artificial Intelligence,usergmail.com,98765 43210,85%,Paid,13 Sep 25,Delhi,AB
ST1185,Aisha,Male,AI&DS,aisha@gmail.com,09876543210,85%,45k,05 May 26,Pune,
ST1355,Monica,M,AI&DS,monicagmail.com,98765 43210,0.78,"?45,000",19/02/2025,,-5
ST1132,Sara,,I.T,,09876543210,85%,"?45,000",2026-03-05,,-5
ST1262,Monica,M,Computer Science,monica@gmail.com,09876543210,,Paid,23 Sep 25,,49
ST1042,Aisha,,AIDS,aishagmail.com,+91-9876543210,92,"?60,500",31/08/2025,Pune,105
ST1209,Deepak,M,AI&DS,,9876543210,92,45k,2025-04-30,,105
ST1461,Monica,female,IT,monica@gmail.com,+91-9876543210,Absent,,28/03/2025,Chennai,-5
ST1093,Deepak,male,CSE,,9876543210,101%,45000,2025-07-26,,-5
ST1482,Priya,male,Artificial Intelligence,,9876543210,0.78,,08/09/2025,Pune,
ST1495,Sara,Male,CSE,saragmail.com,+91-9876543210,92,,31 Jan 26, Bangalore,AB
ST1071,Priya,Male,AIDS,priyagmail.com,09876543210,92,,29 Mar 25, Bangalore,30
ST1370,,female,Computer Science,user@gamil.com,09876543210,85%,45000,19/08/2025,Pune,AB
ST1383,Priya,female,I.T,priya@gmail.com,09876543210,101%,Paid,26 Mar 25,Chennai,-5
ST1060,John,F,I.T,johngmail.com,+91-9876543210,85%,"?45,000",14/08/2025, Bangalore,AB
ST1245,Rahul,M,I.T,,9876543210,Absent,,24 Jun 25,Delhi,-5
ST1223,John,M,Computer Science,johngmail.com,98765 43210,Absent,,09/01/2025,Hyderabad ,AB
ST1280, Huzaifa ,F,IT,huzaifa@gamil.com,N/A,85%,Paid,2026-05-07,Pune,
ST1205,John,male,CSE,,N/A,Absent,,24 Jul 25,Chennai,62
ST1057,Rahul,F,I.T,,9876543210,85%,45k,2025-03-16,Hyderabad ,AB
ST1086,Aisha,Female,Artificial Intelligence,aisha@gmail.com,+91-9876543210,101%,"?45,000",19 Mar 26,Pune,-5
ST1350,Sara,,AI&DS,,9876543210,Absent,45000,16/06/2025,Hyderabad ,
ST1350,Deepak,M,AI&DS,deepak@gamil.com,N/A,85%,45k,2025-03-07,Delhi,90
ST1043, Huzaifa ,,Artificial Intelligence,,+91-9876543210,92,"?45,000",16 Oct 25,,AB
ST1057,,,AI&DS,user@gmail.com,98765 43210,85%,"?45,000",24/09/2025,Hyderabad ,AB
ST1420,Balakrishnan,male,IT,balakrishnangmail.com,N/A,0.78,45000,01 Feb 26, Bangalore,
ST1099,Monica,female,I.T,monica@gmail.com,+91-9876543210,85%,Paid,28/12/2025,Chennai,31
ST1224,Balakrishnan,Male,AIDS,balakrishnan@gamil.com,98765 43210,85%,"?45,000",05 Oct 25,Hyderabad ,AB
ST1302,Monica,F,AI DS,,N/A,85%,"?45,000",18 Dec 25,,55
ST1180,Balakrishnan,female,Artificial Intelligence,balakrishnan@gamil.com,09876543210,85%,"?45,000",24/04/2025,,26
ST1243,Monica,m,AI DS,monicagmail.com,+91-9876543210,,,11 Nov 25,,27
ST1291,Balakrishnan,m,Computer Science,,N/A,101%,,2025-01-01, Bangalore,AB
ST1145,Balakrishnan,M,AI&DS,balakrishnan@gmail.com,09876543210,92,"?60,500",2026-03-05,Chennai,-5
ST1393,,m,CSE,,98765 43210,92,"?60,500",23/06/2025,,AB
ST1289,Rahul,Female,Artificial Intelligence,rahul@gmail.com,+91-9876543210,85%,Paid,21/02/2026,Hyderabad ,AB
ST1128, Huzaifa ,female,AI&DS,huzaifa@gamil.com,98765 43210,,45k,05 Feb 25,Delhi,105
ST1487,John,F,AIDS,johngmail.com,98765 43210,101%,"?60,500",28 Feb 25,Chennai,72
ST1503,Rahul,M,Computer Science,rahulgmail.com,98765 43210,92,45000,10/02/2025,,
ST1505, Huzaifa ,F,Computer Science,,09876543210,85%,,2025-06-14,Delhi,
ST1352,John,,I.T,,09876543210,92,"?60,500",2025-03-03,Hyderabad ,AB
ST1133,mOhammed,male,AI DS,mohammed@gmail.com,9876543210,92,45k,30/05/2025,Pune,105
ST1469,Balakrishnan,,AI&DS,,+91-9876543210,0.78,,2025-06-21,Chennai,AB
ST1052,,M,IT,usergmail.com,+91-9876543210,92,Paid,27/01/2025,Pune,AB
ST1000,John,F,AI&DS,john@gamil.com,9876543210,85%,45000,20/07/2025,Hyderabad ,105
ST1057,Monica,M,Computer Science,,98765 43210,0.78,45000,30 Aug 25,Pune,-5
ST1109, Huzaifa ,,CSE,,98765 43210,101%,"?60,500",23/12/2025,Hyderabad ,
ST1505,Sara,,IT,sara@gmail.com,09876543210,92,"?60,500",16/10/2025,Hyderabad ,105
ST1174,Aisha,Female,Artificial Intelligence,,N/A,92,,11 Oct 25, Bangalore,36
ST1120,John,male,AI DS,john@gamil.com,N/A,85%,"?60,500",2025-04-02,Hyderabad ,
ST1066,Priya,m,Computer Science,priyagmail.com,+91-9876543210,92,"?45,000",2025-06-08,Hyderabad ,AB
ST1327,Deepak,m,AI DS,deepak@gmail.com,98765 43210,,"?60,500",03/06/2025,Hyderabad ,
ST1069,mOhammed,male,Artificial Intelligence,mohammedgmail.com,09876543210,85%,Paid,22/03/2025,,-5
ST1473,Balakrishnan,M,AIDS,,N/A,0.78,"?45,000",18/08/2025, Bangalore,105
ST1380,Monica,Female,Artificial Intelligence,,N/A,0.78,45000,14 Aug 25,,94
ST1197,Sara,F,CSE,sara@gamil.com,98765 43210,Absent,"?60,500",25/03/2025, Bangalore,98
ST1332,John,male,AI&DS,johngmail.com,+91-9876543210,85%,45k,2025-11-26,Chennai,105
ST1208,Monica,M,AIDS,,+91-9876543210,85%,"?60,500",30 May 25,Hyderabad ,AB
ST1403,Monica,female,AI DS,monica@gamil.com,+91-9876543210,85%,45000,2026-04-25,Hyderabad ,42
ST1216,mOhammed,M,IT,mohammed@gmail.com,N/A,101%,,13/10/2025, Bangalore,-5
ST1475, Huzaifa ,Male,IT,huzaifa@gmail.com,9876543210,92,"?45,000",23 Jan 26,,-5
ST1084,Rahul,m,Computer Science,rahulgmail.com,N/A,92,"?60,500",06/03/2025,Pune,105
ST1401,Monica,male,Artificial Intelligence,monicagmail.com,9876543210,92,45000,2026-01-27,Hyderabad ,33
ST1069,,female,I.T,,09876543210,101%,45000,09 Feb 26,Pune,-5
ST1459,Sara,F,Artificial Intelligence,sara@gamil.com,09876543210,,"?45,000",2026-01-22, Bangalore,
ST1405,Sara,M,IT,,09876543210,Absent,45k,01 Feb 25,Chennai,AB
ST1307,mOhammed,m,Computer Science,mohammed@gamil.com,N/A,92,45k,01 May 25,,61
ST1299,Balakrishnan,,Artificial Intelligence,balakrishnan@gamil.com,9876543210,,45000,2025-09-25,,105
ST1127,John,M,I.T,john@gmail.com,09876543210,,"?45,000",2025-03-04,Chennai,-5
ST1252,Deepak,F,Artificial Intelligence,deepak@gmail.com,+91-9876543210,101%,"?45,000",2025-08-12,Chennai,105
ST1109, Huzaifa ,m,AI DS,,9876543210,Absent,"?45,000",2026-03-03,,AB
ST1023,Monica,Female,Computer Science,monica@gamil.com,N/A,92,,06/06/2025,Pune,25
ST1233,Deepak,male,Artificial Intelligence,deepak@gmail.com,98765 43210,,45000,19 Mar 25,Pune,-5
ST1451,Balakrishnan,F,Artificial Intelligence,balakrishnan@gmail.com,+91-9876543210,92,45000,2026-03-19,Chennai,105
ST1336,Balakrishnan,M,Artificial Intelligence,balakrishnan@gmail.com,9876543210,0.78,"?45,000",2025-03-20,Pune,94
ST1503, Huzaifa ,F,IT,,09876543210,,"?60,500",22 Apr 25,Pune,-5
ST1513,Aisha,Male,AI DS,aisha@gmail.com,09876543210,101%,Paid,13 Jun 25,Hyderabad ,AB
ST1315,John,,Artificial Intelligence,john@gamil.com,N/A,85%,,17/08/2025,Hyderabad ,AB
ST1516, Huzaifa ,Male,AI DS,huzaifagmail.com,09876543210,92,"?45,000",20 Jul 25,Pune,-5
ST1446,Rahul,M,IT,rahulgmail.com,+91-9876543210,,45000,09 Feb 25, Bangalore,-5
ST1063,Aisha,M,I.T,,+91-9876543210,Absent,"?45,000",27/06/2025,Pune,-5
ST1091,Deepak,m,CSE,deepak@gmail.com,N/A,85%,45k,17/05/2025,Hyderabad ,-5
ST1322,John,male,CSE,,98765 43210,92,"?45,000",2025-07-31,Pune,AB
ST1192,Rahul,Male,CSE,,98765 43210,,"?60,500",2025-01-15,Delhi,58
ST1191,Balakrishnan,m,IT,balakrishnangmail.com,N/A,Absent,Paid,12/01/2026,,
ST1477,Sara,Female,AI&DS,sara@gamil.com,N/A,92,45k,2025-09-21, Bangalore,
ST1383,Deepak,F,Artificial Intelligence,,98765 43210,,45000,11 May 25, Bangalore,100
ST1502,John,m,Computer Science,john@gamil.com,9876543210,101%,"?45,000",08/12/2025,Delhi,AB
ST1296,mOhammed,Male,Artificial Intelligence,mohammedgmail.com,9876543210,85%,45k,07/03/2026, Bangalore,77
ST1503,Aisha,F,AI&DS,,09876543210,Absent,"?45,000",18 Apr 26,Delhi,82
ST1296,John,M,Artificial Intelligence,johngmail.com,+91-9876543210,,45000,2025-09-21,,35
ST1410,Rahul,Female,Computer Science,rahul@gamil.com,N/A,Absent,"?45,000",2025-11-25,Delhi,
ST1276,Monica,m,AIDS,,+91-9876543210,Absent,45k,2025-11-04,Delhi,105
ST1464,Sara,M,AI&DS,sara@gmail.com,09876543210,Absent,"?60,500",26 Jan 26,,105
ST1074,,m,Computer Science,user@gamil.com,+91-9876543210,,"?60,500",07 Jan 25,Hyderabad ,
ST1110,mOhammed,female,CSE,mohammed@gamil.com,9876543210,92,,2025-09-17, Bangalore,105
ST1129,Rahul,male,AI&DS,,N/A,101%,"?60,500",2025-07-21,Pune,98
ST1190,John,M,AI&DS,john@gmail.com,N/A,,45k,2025-06-14,Delhi,
ST1451,Rahul,Male,IT,rahul@gamil.com,09876543210,Absent,,2025-04-26,Delhi,83
ST1397,mOhammed,m,IT,mohammed@gamil.com,+91-9876543210,,"?60,500",2025-03-18,Chennai,105
ST1025,mOhammed,female,Computer Science,mohammed@gmail.com,N/A,,"?60,500",2026-03-13,Chennai,
ST1066,Sara,M,I.T,sara@gamil.com,9876543210,Absent,"?45,000",2025-10-26,Pune,-5
ST1393,Aisha,F,Artificial Intelligence,aisha@gmail.com,09876543210,101%,"?45,000",21/07/2025, Bangalore,
ST1120,Balakrishnan,Female,I.T,balakrishnan@gamil.com,98765 43210,,45k,18 Jan 26,Delhi,
ST1149,mOhammed,m,Artificial Intelligence,mohammed@gmail.com,+91-9876543210,Absent,"?60,500",2026-03-06,Hyderabad ,105
ST1430,Rahul,Male,AIDS,rahul@gamil.com,9876543210,Absent,"?45,000",04 Nov 25, Bangalore,
ST1180,John,male,IT,john@gamil.com,98765 43210,85%,"?45,000",30 Jan 25,Hyderabad ,61
ST1108,Balakrishnan,Female,AI DS,balakrishnangmail.com,+91-9876543210,0.78,"?60,500",25/08/2025,Delhi,-5
ST1303,Aisha,male,AI DS,aisha@gamil.com,+91-9876543210,Absent,,09/07/2025,,-5
ST1253,Monica,male,IT,,9876543210,0.78,"?60,500",08/04/2026,Chennai,-5
ST1088,John,male,Computer Science,john@gamil.com,+91-9876543210,0.78,45000,13 Jan 26,,-5
ST1397,Priya,M,CSE,priya@gmail.com,98765 43210,85%,45000,2025-06-19,Delhi,
ST1427, Huzaifa ,male,Artificial Intelligence,,N/A,0.78,,02/05/2025,Delhi,
ST1485,Deepak,F,IT,,+91-9876543210,85%,"?45,000",10/07/2025, Bangalore,-5
ST1398,John,F,AIDS,,9876543210,0.78,,03/06/2025,Chennai,
ST1327,Rahul,,I.T,,09876543210,92,"?45,000",2025-04-28,Delhi,
ST1477,Aisha,,Artificial Intelligence,aisha@gmail.com,09876543210,0.78,,09 Jul 25,Delhi,30
ST1214,Rahul,F,I.T,,09876543210,,45000,19 Jan 25, Bangalore,AB
ST1188,Aisha,m,AIDS,,09876543210,85%,45k,07/05/2026, Bangalore,44
ST1273,Sara,female,I.T,,98765 43210,0.78,,17 Jan 25,Delhi,AB
ST1365,Deepak,Male,Artificial Intelligence,,09876543210,92,Paid,27 Aug 25,,-5
ST1361,Sara,,AI DS,sara@gmail.com,09876543210,101%,Paid,01 Aug 25,Hyderabad ,
ST1086,Sara,M,Computer Science,sara@gamil.com,+91-9876543210,,"?45,000",27/02/2025,Pune,AB
ST1139,Rahul,,I.T,,9876543210,92,"?45,000",2026-03-04,Delhi,
ST1092, Huzaifa ,m,AI DS,huzaifa@gmail.com,N/A,92,"?45,000",2025-06-16,Delhi,43
ST1140,Priya,m,AI&DS,,9876543210,85%,"?45,000",28/11/2025,Hyderabad ,
ST1222,Rahul,Male,AI DS,,09876543210,101%,,2025-03-20,,AB
ST1123,Aisha,,IT,aisha@gmail.com,9876543210,,Paid,28 Aug 25,Chennai,28
ST1446,Aisha,female,AI&DS,aisha@gamil.com,N/A,101%,45000,18/03/2026,,AB
ST1025,mOhammed,M,Artificial Intelligence,mohammed@gamil.com,98765 43210,85%,"?45,000",03/11/2025,,
ST1067,Sara,female,AI&DS,sara@gamil.com,09876543210,0.78,"?45,000",2026-02-05, Bangalore,105
ST1300,Sara,M,CSE,,98765 43210,Absent,,16 Jan 25,,AB
ST1426,,Female,Computer Science,user@gmail.com,09876543210,85%,45000,13 Mar 25,,105
ST1283,Sara,m,Computer Science,,98765 43210,92,"?45,000",21 Jan 25,Delhi,AB
ST1239,Rahul,Male,Computer Science,rahul@gmail.com,+91-9876543210,Absent,"?60,500",09/03/2025, Bangalore,-5
ST1088,John,male,Artificial Intelligence,,9876543210,85%,45k,02/06/2025, Bangalore,AB
ST1322,Balakrishnan,M,IT,balakrishnan@gmail.com,9876543210,,,09/06/2025,Hyderabad ,105
ST1174,,F,AIDS,user@gmail.com,N/A,,,14/01/2026,Delhi,90
ST1266,mOhammed,m,Computer Science,,9876543210,92,"?45,000",17/04/2025,Chennai,52
ST1290,Sara,male,AI DS,sara@gamil.com,N/A,92,45000,2025-04-04,Hyderabad ,AB
ST1404,Aisha,Female,IT,aishagmail.com,N/A,0.78,"?60,500",22 Feb 25,Pune,AB
ST1030,Priya,Male,I.T,priya@gamil.com,9876543210,101%,45000,26/05/2025,Delhi,
ST1437,Sara,m,IT,saragmail.com,N/A,Absent,45k,2025-05-28,Chennai,-5
ST1211,Sara,Female,CSE,,+91-9876543210,Absent,Paid,13 Oct 25,Pune,
ST1177,Balakrishnan,,AI DS,,+91-9876543210,Absent,45k,14/01/2026,Pune,105
ST1129,Monica,female,CSE,monicagmail.com,+91-9876543210,92,Paid,15/04/2026,Chennai,-5
ST1119,Sara,Female,AI&DS,sara@gmail.com,09876543210,Absent,45k,24/02/2026, Bangalore,-5
ST1356,Priya,Male,Computer Science,priyagmail.com,09876543210,,45k,27/04/2025,,
